var,lev,mean,std,min,max,count
ssr,,467224.1904,353876.5443,3.60E-12,1449051,591688800
strd,,1085957.054,335157.9119,148259.6563,1779658.875,591688800
d2m,,274.0518133,20.69576963,189.4894714,304.3908997,591688800
msl,,100959.9778,1312.725571,91991.97656,107118.2969,591688800
t2m,,278.5877207,21.19903037,192.973587,318.0187378,591688800
tp,,0.000100206,0.000242402,0,0.017644115,591688800
u10,,-0.059759066,5.228587101,-34.6876297,25.83591843,591688800
v10,,0.190705986,4.300175406,-31.22852325,35.32942963,591688800
cos_sza_utc00,,1.27E-16,0.519404531,-1,1,591688800
siconc,,0.167383631,0.352767536,0,1,390356254
sithick,,0.318195692,0.777277788,0,7.621694565,390356254
thetao,0.494024992,13.88079896,11.65442762,-2.722652912,36.685215,390377643
thetao,2.645668983,13.85795673,11.63317702,-2.662031651,36.54295349,390377643
thetao,5.078224182,13.84479622,11.62305538,-2.662043333,36.58998489,390377643
thetao,7.929560184,13.84116467,11.60776999,-2.662049055,36.55934906,388131417
thetao,11.40499973,13.8293487,11.5939745,-2.662054777,36.53025818,386661326
thetao,15.81007004,13.810926,11.57232837,-2.670903921,35.02320862,385209497
thetao,21.59881973,13.76292466,11.53213854,-2.670921564,34.19134903,383237201
thetao,29.44473076,13.63804132,11.44966767,-2.670821905,33.0198288,380899665
thetao,40.34405136,13.40510757,11.26893322,-2.690270185,32.85403442,377575981
thetao,55.76428986,12.98176652,10.90908234,-2.743242025,32.06668472,373056136
thetao,77.85385132,12.31833456,10.28950509,-2.832369566,31.39224434,368636732
thetao,92.32607269,11.93027454,9.851653724,-2.872292042,31.24885368,366344851
thetao,109.7293015,11.49746495,9.314915105,-2.875090122,31.31202698,363651205
thetao,130.6660004,10.9877112,8.687238509,-2.890494823,31.1276741,361076263
thetao,155.8506927,10.41910688,7.974704551,-2.879664183,29.82980347,358729597
thetao,186.1255951,9.830237941,7.226962802,-2.791931629,28.66747093,355908118
thetao,222.4752045,9.254099655,6.520513548,-2.799719572,26.98736954,352904019
thetao,266.0403137,8.657880401,5.861955248,-2.770706177,24.62526703,350155588
thetao,318.1274109,8.023588962,5.242282102,-2.704388857,22.08683395,347224536
thetao,380.2130127,7.339124549,4.671888176,-2.618380785,22.02868843,344585678
thetao,453.9377136,6.634922131,4.147755721,-2.685604095,21.92856789,341645496
thetao,541.0889282,5.921502392,3.667070331,-2.456338882,21.86310959,338778362
thetao,643.5667725,5.227742094,3.231740964,-2.269519806,21.85193253,336312992
uo,0.494024992,-0.0002768,0.166718881,-2.129034758,2.710730553,390322857
uo,2.645668983,0.000883996,0.161717216,-2.111465454,2.700951815,390322857
uo,5.078224182,0.001658166,0.158082589,-2.094048738,2.691351175,390322857
uo,7.929560184,0.00232805,0.155386751,-2.066166878,2.680830717,388030976
uo,11.40499973,0.003001035,0.152489234,-2.008571148,2.66722846,386588278
uo,15.81007004,0.003977166,0.149138699,-1.941494465,2.646183729,385136449
uo,21.59881973,0.005446646,0.145028913,-1.894885778,2.607734442,383191546
uo,29.44473076,0.00750041,0.140223591,-1.802817464,2.530836344,380835748
uo,40.34405136,0.009701416,0.135888447,-1.769297838,2.437034369,377512064
uo,55.76428986,0.0112344,0.133970085,-1.719171166,2.268779993,372964826
uo,77.85385132,0.012011165,0.132815537,-1.646948338,1.927048922,368627601
uo,92.32607269,0.012048105,0.130302639,-1.593125701,1.785820246,366299196
uo,109.7293015,0.011917666,0.125147396,-1.530969501,1.808213353,363623813
uo,130.6660004,0.011635964,0.117532743,-1.471292973,1.736723542,361058002
uo,155.8506927,0.011327081,0.109314651,-1.409115791,1.530376315,358674811
uo,186.1255951,0.010768824,0.10209023,-1.33850801,1.38226378,355880725
uo,222.4752045,0.009722686,0.095304416,-1.261715651,1.364351153,352904019
uo,266.0403137,0.008393999,0.089235728,-1.217998028,1.347989678,350146457
uo,318.1274109,0.007219109,0.084563443,-1.166180015,1.31208396,347215406
uo,380.2130127,0.006381307,0.080126429,-1.115256667,1.254285336,344576547
uo,453.9377136,0.006123057,0.075250656,-1.05317688,1.191807151,341618103
uo,541.0889282,0.006140604,0.070176864,-0.999786377,1.124903798,338750969
uo,643.5667725,0.006034573,0.064922151,-0.930996776,1.019585371,336312991
vo,0.494024992,0.006100918,0.122115571,-2.084520102,2.397131443,390322857
vo,2.645668983,0.005555616,0.120433393,-2.095837593,2.379973173,390322857
vo,5.078224182,0.005058398,0.119232459,-2.104039192,2.368240595,390322857
vo,7.929560184,0.004532933,0.118478196,-2.11096096,2.358729124,388030976
vo,11.40499973,0.003990126,0.11757951,-2.116602898,2.349781036,386588278
vo,15.81007004,0.003322835,0.116494527,-2.120078325,2.339748144,385136449
vo,21.59881973,0.002547988,0.114877208,-2.118955135,2.326375008,383191546
vo,29.44473076,0.001860308,0.11254187,-2.110520363,2.307021141,380835748
vo,40.34405136,0.001512009,0.109559631,-2.073058605,2.278885126,377512064
vo,55.76428986,0.00130423,0.106409595,-1.977921367,2.224803448,372964826
vo,77.85385132,0.001151264,0.102333862,-1.878198028,2.131772995,368627601
vo,92.32607269,0.001078603,0.099419585,-1.777067423,2.067527294,366299196
vo,109.7293015,0.001086048,0.095955441,-1.643048763,1.988420725,363623813
vo,130.6660004,0.001068526,0.092228757,-1.486569405,1.910149455,361058002
vo,155.8506927,0.001063467,0.08859084,-1.457326531,1.827545762,358674811
