tag,step,wall_time,value
loss/train,1,1782873949.265916,0.0021380134858191013
loss/train,2,1782874247.143313,0.0018105461494997144
loss/train,3,1782874544.4707487,0.0017091082409024239
loss/train,4,1782875031.5724776,0.0016057115281000733
loss/raw_val,5,1782875395.362445,0.0015041157603263855
loss/raw_val_denorm,5,1782875395.3624501,0.018299000337719917
loss/train,5,1782875329.712806,0.0015166312223300338
loss/val,5,1782875395.362375,0.0017187752528116107
loss/val_denorm,5,1782875395.3624387,0.01990429125726223
loss/val_denorm_lead/lead_01,5,1782875395.3624642,0.01990429125726223
loss/val_denorm_lead_var/siconc/lead_01,5,1782875395.379032,0.004122159909456968
loss/val_denorm_lead_var/sithick/lead_01,5,1782875395.4127772,0.005737937055528164
loss/val_denorm_lead_var/so/lead_01,5,1782875395.5177078,0.011050496250391006
loss/val_denorm_lead_var/thetao/lead_01,5,1782875395.4825664,0.0503956563770771
loss/val_denorm_lead_var/uo/lead_01,5,1782875395.5493112,0.017211195081472397
loss/val_denorm_lead_var/vo/lead_01,5,1782875395.5806966,0.01784532517194748
loss/val_denorm_lead_var/zos/lead_01,5,1782875395.4488137,0.0098696518689394
loss/val_denorm_var/siconc,5,1782875395.362477,0.004122159909456968
loss/val_denorm_var/sithick,5,1782875395.3962104,0.005737937055528164
loss/val_denorm_var/so,5,1782875395.5004086,0.011050496250391006
loss/val_denorm_var/thetao,5,1782875395.4654238,0.0503956563770771
loss/val_denorm_var/uo,5,1782875395.533225,0.017211195081472397
loss/val_denorm_var/vo,5,1782875395.5648851,0.01784532517194748
loss/val_denorm_var/zos,5,1782875395.431883,0.0098696518689394
loss/val_lead/lead_01,5,1782875395.3624551,0.0017187752528116107
loss/val_lead_var/siconc/lead_01,5,1782875395.3629959,0.00412215618416667
loss/val_lead_var/sithick/lead_01,5,1782875395.4010942,0.0007528425776399672
loss/val_lead_var/so/lead_01,5,1782875395.5060291,0.00034632167080417275
loss/val_lead_var/thetao/lead_01,5,1782875395.4711337,0.001495390199124813
loss/val_lead_var/uo/lead_01,5,1782875395.538632,0.007944491691887379
loss/val_lead_var/vo/lead_01,5,1782875395.5700865,0.008622944355010986
loss/val_lead_var/zos/lead_01,5,1782875395.4377153,0.0025454824790358543
loss/val_norm,5,1782875395.3624249,0.0017187752528116107
loss/val_norm_lead/lead_01,5,1782875395.36246,0.0017187752528116107
loss/val_norm_lead_var/siconc/lead_01,5,1782875395.3738327,0.00412215618416667
loss/val_norm_lead_var/sithick/lead_01,5,1782875395.4069526,0.0007528425776399672
loss/val_norm_lead_var/so/lead_01,5,1782875395.511907,0.00034632167080417275
loss/val_norm_lead_var/thetao/lead_01,5,1782875395.4766605,0.001495390199124813
loss/val_norm_lead_var/uo/lead_01,5,1782875395.5440986,0.007944491691887379
loss/val_norm_lead_var/vo/lead_01,5,1782875395.5758734,0.008622944355010986
loss/val_norm_lead_var/zos/lead_01,5,1782875395.4431498,0.0025454824790358543
loss/val_norm_var/siconc,5,1782875395.3624728,0.00412215618416667
loss/val_norm_var/sithick,5,1782875395.3901515,0.0007528425776399672
loss/val_norm_var/so,5,1782875395.4946918,0.00034632167080417275
